341; 231
546; 177
360; 435
572; 387
475; 281
84; 497
40; 58
760; 638
347; 608
722; 59
288; 81
116; 243
236; 415
720; 300
596; 544
253; 113
373; 230
326; 335
250; 373
163; 372
124; 323
107; 248
124; 175
449; 461
473; 405
363; 532
237; 518
337; 417
412; 332
220; 248
430; 140
415; 364
230; 406
124; 255
343; 283
430; 521
158; 526
103; 127
430; 58
506; 199
287; 159
525; 394
49; 405
222; 60
464; 265
195; 105
287; 247
149; 385
500; 484
509; 201
136; 146
50; 295
142; 508
301; 513
309; 324
110; 106
358; 90
108; 375
91; 520
300; 500
119; 82
352; 202
232; 361
36; 413
208; 507
417; 385
231; 244
58; 122
367; 50
278; 409
412; 562
479; 562
466; 375
415; 276
168; 290
244; 71
439; 123
324; 279
162; 328
449; 413
436; 231
182; 180
193; 496
371; 500
183; 356
68; 315
58; 198
71; 481
206; 500
101; 223
341; 431
235; 400
367; 319
271; 260
288; 336
427; 399
468; 297
416; 216
329; 202
251; 172
220; 255
210; 341
191; 385
169; 487
304; 502
269; 305
283; 418
380; 387
398; 264
371; 178
298; 220
323; 314
379; 346
544; 421
473; 589
243; 488
231; 540
177; 520
189; 460
219; 438
123; 116
260; 183
180; 273
355; 331
393; 159
259; 343
88; 431
375; 474
486; 372
428; 258
331; 259
316; 114
184; 132
110; 212
133; 366
317; 193
158; 228
235; 376
423; 300
304; 294
235; 145
447; 113
375; 375
507; 416
289; 509
166; 438
85; 345
256; 289
154; 176
102; 213
320; 475
245; 303
225; 361
309; 363
340; 299
324; 241
284; 243
234; 262
133; 232
182; 182
311; 223
530; 305
475; 331
459; 416
439; 365
138; 105
440; 168
302; 419
141; 479
148; 326
66; 338
63; 225
256; 233
482; 403
421; 488
377; 256
303; 134
231; 197
232; 332
205; 449
61; 35
79; 220
198; 290
182; 400
122; 457
81; 356
132; 271
162; 180
224; 161
340; 418
338; 419
401; 228
433; 165
465; 144
515; 255
259; 82
202; 257
432; 348
429; 212
254; 168
57; 373
386; 118
512; 376
255; 460
311; 298
68; 54
543; 27
557; 537
77; 201
551; 168
298; 127
193; 242
342; 438
461; 280
449; 134
150; 442
57; 202
165; 53
451; 486
274; 526
313; 302
372; 357
475; 343
522; 420
356; 35
199; 220
390; 143
373; 322
229; 406
319; 273
254; 134
67; 252
318; 479
451; 242
211; 313
179; 133
339; 200
288; 256
307; 348
439; 370
